# IdentifierType.txt
# Date: 2025-08-04, 21:58:43 GMT
# © 2025 Unicode®, Inc.
# Unicode and the Unicode Logo are registered trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use and license, see https://www.unicode.org/terms_of_use.html
#
# Unicode Security Mechanisms for UTS #39
# Version: 17.0.0
#
# For documentation and usage, see https://www.unicode.org/reports/tr39
#
# Format
#
# Field 0: code point
# Field 1: set of Identifier_Type values
#          See the "Identifier_Status and Identifier_Type" table of UTS #39:
#          https://www.unicode.org/reports/tr39/#Identifier_Status_and_Type

#
# For the purpose of regular expressions, the property Identifier_Type is defined as
# mapping each code point to a set of enumerated values.
# The short name of Identifier_Type is ID_Type.
# The possible values are:
#   Not_Character, Deprecated, Default_Ignorable, Not_NFKC, Not_XID,
#   Exclusion, Obsolete, Technical, Uncommon_Use, Limited_Use, Inclusion, Recommended
# The short name of each value is the same as its long name.

# All code points not explicitly listed for Identifier_Type
# have the value Not_Character.

# @missing: 0000..10FFFF; Not_Character

# As usual, sets are unordered, with no duplicate values.


#	Identifier_Type:	Recommended

8224          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8224
8241          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8241
8265          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8265
828C          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-828C
82B2          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-82B2
82E2          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-82E2
82FC          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-82FC
830A          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-830A
8310          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8310
8330          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8330
8355          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8355
83BE          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-83BE
83E6          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-83E6
83ED          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-83ED
8414          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8414
8416..8417    ; Uncommon_Use                   # 1.1    [2] CJK UNIFIED IDEOGRAPH-8416..CJK UNIFIED IDEOGRAPH-8417
841F          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-841F
8458          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8458
8483          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8483
8495          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8495
84B7          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-84B7
84C3          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-84C3
84ED          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-84ED
8505          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8505
8510          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8510
8532..8533    ; Uncommon_Use                   # 1.1    [2] CJK UNIFIED IDEOGRAPH-8532..CJK UNIFIED IDEOGRAPH-8533
854C          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-854C
8550          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8550
857F          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-857F
8593          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8593
85B2          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-85B2
85BB          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-85BB
85CC          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-85CC
85EE          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-85EE
85F3          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-85F3
85FC          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-85FC
8603          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8603
860D..860E    ; Uncommon_Use                   # 1.1    [2] CJK UNIFIED IDEOGRAPH-860D..CJK UNIFIED IDEOGRAPH-860E
8610          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8610
8615          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8615
861D          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-861D
8637          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8637
8657          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8657
8675          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8675
8689          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8689
8692          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8692
86A0          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-86A0
86A6          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-86A6
86D5          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-86D5
86E0          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-86E0
86E7          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-86E7
86FD          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-86FD
871D          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-871D
872F          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-872F
873D          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-873D
8745          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8745
8771          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8771
878E          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-878E
8799          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8799
87DA          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-87DA
87F0          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-87F0
8807          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8807
8812          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8812
882D          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-882D
883A          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-883A
8847          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8847
8858          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8858
885C          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-885C
885F          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-885F
887A          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-887A
88E6          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-88E6
88E9          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-88E9
88ED          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-88ED
8903          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8903
890F          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-890F
8924          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8924
8965          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8965
8975          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8975
897D          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-897D
898D          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-898D
8990          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8990
8994          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8994
8999          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8999
89B0          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-89B0
89B4          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-89B4
89BB..89BC    ; Uncommon_Use                   # 1.1    [2] CJK UNIFIED IDEOGRAPH-89BB..CJK UNIFIED IDEOGRAPH-89BC
89EE          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-89EE
89F5          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-89F5
89F9          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-89F9
89FD          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-89FD
8A05..8A06    ; Uncommon_Use                   # 1.1    [2] CJK UNIFIED IDEOGRAPH-8A05..CJK UNIFIED IDEOGRAPH-8A06
8A14          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8A14
8A19          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8A19
8A20..8A21    ; Uncommon_Use                   # 1.1    [2] CJK UNIFIED IDEOGRAPH-8A20..CJK UNIFIED IDEOGRAPH-8A21
8A2B          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8A2B
8A3D          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8A3D
8A4B          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8A4B
8A64          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8A64
8A78          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8A78
8A7D          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8A7D
8A88          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8A88
8A9F          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8A9F
8AAF          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8AAF
8AB7          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8AB7
8AD0          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8AD0
8AEC          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8AEC
8B29          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8B29
8B32          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8B32
8B38          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8B38
8B3F          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8B3F
8B61..8B62    ; Uncommon_Use                   # 1.1    [2] CJK UNIFIED IDEOGRAPH-8B61..CJK UNIFIED IDEOGRAPH-8B62
8B69          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8B69
8B75          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8B75
8B7C          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8B7C
8B81          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8B81
8B87          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8B87
8B8D          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8B8D
8B8F          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8B8F
8B9B          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8B9B
8C38          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8C38
8C40          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8C40
8C44          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8C44
8C51..8C53    ; Uncommon_Use                   # 1.1    [3] CJK UNIFIED IDEOGRAPH-8C51..CJK UNIFIED IDEOGRAPH-8C53
8C58          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8C58
8C74          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8C74
8C7F          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8C7F
8C83          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8C83
8C87          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8C87
8C8B          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8C8B
8C9B          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8C9B
8CA6          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8CA6
8CCB          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8CCB
8CD6          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8CD6
8CD8          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8CD8
8CE9          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8CE9
8CF7          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8CF7
8D01          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8D01
8D11..8D12    ; Uncommon_Use                   # 1.1    [2] CJK UNIFIED IDEOGRAPH-8D11..CJK UNIFIED IDEOGRAPH-8D12
8D7C          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8D7C
8DA6          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8DA6
8DC0          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8DC0
8DE5          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8DE5
8E01          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8E01
8E0B          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8E0B
8E32          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8E32
8E46          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8E46
8E4F          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8E4F
8E6E          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8E6E
8E75          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8E75
8E77          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8E77
8E79          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8E79
8E9B          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8E9B
8EA2          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8EA2
8EB3          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8EB3
8EB6..8EB7    ; Uncommon_Use                   # 1.1    [2] CJK UNIFIED IDEOGRAPH-8EB6..CJK UNIFIED IDEOGRAPH-8EB7
8EC1          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8EC1
8EC4          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8EC4
8ED9          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8ED9
8EF0          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8EF0
8F0F          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8F0F
8F2D          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8F2D
8F3A          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8F3A
8F41          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8F41
8F9D          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8F9D
8FA4          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8FA4
8FB3          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8FB3
8FC3          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8FC3
8FCA          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8FCA
8FE7          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-8FE7
902A          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-902A
902C          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-902C
9037          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-9037
9040          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-9040
9046          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-9046
90AB          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-90AB
90CC..90CD    ; Uncommon_Use                   # 1.1    [2] CJK UNIFIED IDEOGRAPH-90CC..CJK UNIFIED IDEOGRAPH-90CD
90D2          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-90D2
90F6          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-90F6
910A          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-910A
913C..913D    ; Uncommon_Use                   # 1.1    [2] CJK UNIFIED IDEOGRAPH-913C..CJK UNIFIED IDEOGRAPH-913D
9159          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-9159
917B          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-917B
9195          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-9195
9198          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-9198
91A9          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-91A9
91BF          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-91BF
91C4          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-91C4
91E0          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-91E0
91EF          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-91EF
9213          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-9213
921F          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-921F
9222          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-9222
9243          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-9243
9269..926A    ; Uncommon_Use                   # 1.1    [2] CJK UNIFIED IDEOGRAPH-9269..CJK UNIFIED IDEOGRAPH-926A
9281          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-9281
9284          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-9284
929E          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-929E
92BD          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-92BD
92D4          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-92D4
92DB          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-92DB
92E2          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-92E2
931C          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-931C
9330..9331    ; Uncommon_Use                   # 1.1    [2] CJK UNIFIED IDEOGRAPH-9330..CJK UNIFIED IDEOGRAPH-9331
9362          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-9362
9368          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-9368
936B          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-936B
936F          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-936F
9373          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-9373
9378          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-9378
937F          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-937F
9381          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-9381
938B          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-938B
939C          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-939C
93A0          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-93A0
93AB          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-93AB
93BB          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-93BB
93E0          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-93E0
93F3          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-93F3
9402          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-9402
9417          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-9417
941C          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-941C
941E..941F    ; Uncommon_Use                   # 1.1    [2] CJK UNIFIED IDEOGRAPH-941E..CJK UNIFIED IDEOGRAPH-941F
9424          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-9424
9443          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-9443
944E          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-944E
946C          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-946C
947B          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-947B
9578..9579    ; Uncommon_Use                   # 1.1    [2] CJK UNIFIED IDEOGRAPH-9578..CJK UNIFIED IDEOGRAPH-9579
957E          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-957E
9585          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-9585
9597          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-9597
95B3..95B4    ; Uncommon_Use                   # 1.1    [2] CJK UNIFIED IDEOGRAPH-95B3..CJK UNIFIED IDEOGRAPH-95B4
95B8          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-95B8
95C1          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-95C1
95D9          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-95D9
95DD          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-95DD
9625..9626    ; Uncommon_Use                   # 1.1    [2] CJK UNIFIED IDEOGRAPH-9625..CJK UNIFIED IDEOGRAPH-9626
9629          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-9629
963E          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-963E
9656..9657    ; Uncommon_Use                   # 1.1    [2] CJK UNIFIED IDEOGRAPH-9656..CJK UNIFIED IDEOGRAPH-9657
9679          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-9679
967B          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-967B
967F          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-967F
9681..9682    ; Uncommon_Use                   # 1.1    [2] CJK UNIFIED IDEOGRAPH-9681..CJK UNIFIED IDEOGRAPH-9682
968C          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-968C
9696          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-9696
969A          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-969A
969D          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-969D
969F          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-969F
96AB          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-96AB
96AF          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-96AF
96B5          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-96B5
96E4          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-96E4
96E6..96E7    ; Uncommon_Use                   # 1.1    [2] CJK UNIFIED IDEOGRAPH-96E6..CJK UNIFIED IDEOGRAPH-96E7
96FC          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-96FC
9714          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-9714
9717          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-9717
971A..971B    ; Uncommon_Use                   # 1.1    [2] CJK UNIFIED IDEOGRAPH-971A..CJK UNIFIED IDEOGRAPH-971B
9733..9734    ; Uncommon_Use                   # 1.1    [2] CJK UNIFIED IDEOGRAPH-9733..CJK UNIFIED IDEOGRAPH-9734
9737          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-9737
9740..9741    ; Uncommon_Use                   # 1.1    [2] CJK UNIFIED IDEOGRAPH-9740..CJK UNIFIED IDEOGRAPH-9741
974D          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-974D
9757          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-9757
9763          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-9763
9775          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-9775
9787          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-9787
9789          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-9789
979B          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-979B
97A9          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-97A9
97B0..97B1    ; Uncommon_Use                   # 1.1    [2] CJK UNIFIED IDEOGRAPH-97B0..CJK UNIFIED IDEOGRAPH-97B1
97B5          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-97B5
97BE          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-97BE
97C0          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-97C0
97D2          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-97D2
97FC          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-97FC
981F          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-981F
9825          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-9825
982A          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-982A
9833          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-9833
983A          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-983A
983E          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-983E
9842          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-9842
9847          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-9847
9856          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-9856
9866          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-9866
9868          ; Uncommon_Use                   # 1.1        CJK UNIFIED IDEOGRAPH-9868
